abs_tol=1e-4, rel_tol=1e-4

n,mat_free_scs_time,mat_free_scs_evals,mat_free_pogs_time,mat_free_pogs_evals
100,0,0,2.64796495438,5220
142,0,0,4.97550082207,8763
206,0,0,3.41136288643,6008
296,0,0,6.53319406509,11477
428,0,0,3.50826001167,6172
614,0,0,5.85206890106,9234
884,0,0,4.60377216339,7851
1274,0,0,6.68900108337,10394
1832,0,0,7.59920692444,11889
2636,0,0,6.93257904053,10500
3792,0,0,6.69132113457,10315
5454,0,0,7.16824603081,11205
7846,0,0,4.94140505791,8015
11288,0,0,4.7484960556,7686
16236,0,0,7.05629587173,10030
23356,0,0,8.57557702065,10645
33598,0,0,5.82819700241,7216
48328,0,0,6.26825499535,6804
69518,0,0,8.36845898628,8389
100000,0,0,9.96312308311,14010
316226,0,0,54.4952619076,17803
1000000,0,0,76.3661408424,26584
3162276,0,0,1275.71223497,43095
