abs_tol=1e-4, rel_tol=1e-3

n,mat_free_scs_time,mat_free_scs_evals,mat_free_pogs_time,mat_free_pogs_evals
100,0,0,0.623732089996,1206
142,0,0,1.43572092056,2466
206,0,0,1.37929105759,2372
296,0,0,1.98597097397,3410
428,0,0,1.58557486534,2726
614,0,0,2.07803201675,3207
884,0,0,1.70183396339,2833
1274,0,0,2.05285096169,3154
1832,0,0,2.61655306816,3992
2636,0,0,2.48846292496,3713
3792,0,0,2.40480399132,3659
5454,0,0,3.08443808556,4736
7846,0,0,1.81652998924,2897
11288,0,0,2.24629592896,3562
16236,0,0,2.55646014214,3581
23356,0,0,2.54693198204,3119
33598,0,0,2.47340297699,3007
48328,0,0,2.49671602249,2673
69518,0,0,2.93853497505,2883
100000,0,0,3.46044588089,4765
316226,0,0,12.5435359478,4117
1000000,0,0,17.0449671745,5946
3162276,0,0,199.400557041,6695
10000000,0,0,166.432283878,7046
